top_origin,top_destination,top_count
ATL,LGA,10506
BOS,LGA,12029
DCA,LGA,11102
HNL,LIH,10769
HNL,OGG,12014
LAS,LAX,11729
LAS,PHX,10626
LAX,LAS,11773
LAX,SAN,11257
LAX,SFO,13390
LGA,ATL,10507
LGA,BOS,12035
LGA,DCA,11063
LGA,ORD,10862
LIH,HNL,10407
OGG,HNL,12383
ORD,LGA,10770
PHX,LAS,10337
SAN,LAX,11224
SFO,LAX,13788
