top10_origin,top10_destination,top10_count
BOS,LGA,12029
HNL,OGG,12014
LAS,LAX,11729
LAX,LAS,11773
LAX,SAN,11257
LAX,SFO,13390
LGA,BOS,12035
OGG,HNL,12383
SAN,LAX,11224
SFO,LAX,13788
